_row_index,cve_id,commit_hash,repo_name,repo_url,commit_urls,source_file,language,_language,_language_source,selection_source,cwe_ids,cwe_tokens,multiple_language
5472,CVE-2018-16863,5516c614dc33,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=5516c614dc33,cvelistV5/cves/2018/16xxx/CVE-2018-16863.json,JSON,JSON,csv,references_fallback,CWE-184,CWE-184,false
5473,CVE-2018-16863,78911a01b67d,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=78911a01b67d,cvelistV5/cves/2018/16xxx/CVE-2018-16863.json,JSON,JSON,csv,references_fallback,CWE-184,CWE-184,false
5474,CVE-2018-16863,79cccf641486,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=79cccf641486,cvelistV5/cves/2018/16xxx/CVE-2018-16863.json,JSON,JSON,csv,references_fallback,CWE-184,CWE-184,false
5477,CVE-2018-16976,dc13dfca8fdae5634bb0865f7e9822d2a268ed59,github.com/sitaramc/gitolite,https://github.com/sitaramc/gitolite,https://github.com/sitaramc/gitolite/commit/dc13dfca8fdae5634bb0865f7e9822d2a268ed59,cvelistV5/cves/2018/16xxx/CVE-2018-16976.json,Perl,Perl,csv,references_fallback,CWE-362,CWE-362,false
5488,CVE-2018-17183,fb713b3818b52d8a6cf62c951eba2e1795ff9624,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commit%3Bh=fb713b3818b52d8a6cf62c951eba2e1795ff9624;http://git.ghostscript.com/?p=ghostpdl.git;a=commit;h=fb713b3818b52d8a6cf62c951eba2e1795ff9624,cvelistV5/cves/2018/17xxx/CVE-2018-17183.json,JSON,JSON,csv,references_fallback,,,false
5495,CVE-2018-17298,4050b0aafd18346d9a6a06967bfb1170824dab17,tuleap.net/plugins/git/tuleap/tuleap/stable,https://tuleap.net/plugins/git/tuleap/tuleap/stable,https://tuleap.net/plugins/git/tuleap/tuleap/stable?a=commit&h=4050b0aafd18346d9a6a06967bfb1170824dab17,cvelistV5/cves/2018/17xxx/CVE-2018-17298.json,JSON,JSON,csv,references_fallback,CWE-640,CWE-640,false
5496,CVE-2018-17298,b87d3b807f39c00371ebaa50f938cb0110113538,tuleap.net/plugins/git/tuleap/tuleap/stable,https://tuleap.net/plugins/git/tuleap/tuleap/stable,https://tuleap.net/plugins/git/tuleap/tuleap/stable?a=commit&h=b87d3b807f39c00371ebaa50f938cb0110113538,cvelistV5/cves/2018/17xxx/CVE-2018-17298.json,JSON,JSON,csv,references_fallback,CWE-640,CWE-640,false
5498,CVE-2018-17456,1a7fd1fb2998002da6e9ff2ee46e1bdd25ee8404,github.com/git/git.git,https://github.com/git/git,https://github.com/git/git/commit/1a7fd1fb2998002da6e9ff2ee46e1bdd25ee8404,cvelistV5/cves/2018/17xxx/CVE-2018-17456.json,Shell,Shell,csv,references_fallback,CWE-88,CWE-88,true
5499,CVE-2018-17456,a124133e1e6ab5c7a9fef6d0e6bcb084e3455b46,github.com/git/git.git,https://github.com/git/git,https://github.com/git/git/commit/a124133e1e6ab5c7a9fef6d0e6bcb084e3455b46,cvelistV5/cves/2018/17xxx/CVE-2018-17456.json,Shell,Shell,csv,references_fallback,CWE-88,CWE-88,true
5505,CVE-2018-17605,a29533c52e4b60e244082433e116d2a038d01017,github.com/bertramdev/asset-pipeline,https://github.com/bertramdev/asset-pipeline,https://github.com/bertramdev/asset-pipeline/commit/a29533c52e4b60e244082433e116d2a038d01017,cvelistV5/cves/2018/17xxx/CVE-2018-17605.json,Groovy,Groovy,csv,references_fallback,CWE-22,CWE-22,false
5507,CVE-2018-17961,a54c9e61e7d0,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=a54c9e61e7d0;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=a54c9e61e7d0,cvelistV5/cves/2018/17xxx/CVE-2018-17961.json,JSON,JSON,csv,references_fallback,CWE-209,CWE-209,false
5508,CVE-2018-17961,a5a9bf8c6a63,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=a5a9bf8c6a63;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=a5a9bf8c6a63,cvelistV5/cves/2018/17xxx/CVE-2018-17961.json,JSON,JSON,csv,references_fallback,CWE-209,CWE-209,false
5509,CVE-2018-17961,a6807394bd94,git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/ghostpdl.git,http://git.ghostscript.com/?p=ghostpdl.git%3Ba=commitdiff%3Bh=a6807394bd94;http://git.ghostscript.com/?p=ghostpdl.git;a=commitdiff;h=a6807394bd94,cvelistV5/cves/2018/17xxx/CVE-2018-17961.json,JSON,JSON,csv,references_fallback,CWE-209,CWE-209,false
